id,title,body,category,priority
308,Errore firewall,"Urgente: firewall mostra messaggi di errore, reparto fermo. La scadenza è imminente, serve un riscontro.",Tecnico,media
333,Malfunzionamento schermata blu,Il/la schermata blu ha smesso di funzionare. Ho già provato a riavviare.,Tecnico,bassa
497,Modifica promozione,"Il/la promozione richiede approvazione. Chiedo cortesemente una verifica. Situazione bloccante, serve risposta immediata.",Commerciale,alta
19,Problema con F24,In riferimento al/alla F24: risulta errato. Attendo riscontro. Impossibile lavorare senza risoluzione.,Amministrazione,alta
340,Segnalazione su listino prezzi,Il/la listino prezzi non è stato inviato. Chiedo cortesemente una verifica.,Commerciale,bassa
409,Modifica consegna,Il/la consegna non è stato ricevuto. Si prega di intervenire.,Commerciale,bassa
245,Errore bug nel software,"Da ieri il/la bug nel software richiede aggiornamento. Impossibile lavorare. Situazione bloccante, serve risposta immediata.",Tecnico,alta
500,scontistica da rivedere,"Il/la scontistica è stato annullato. Si prega di intervenire. Situazione bloccante, serve risposta immediata.",Commerciale,alta
76,Problema con dichiarazione IVA,"Il/la dichiarazione IVA relativo al mese corrente non è stato emesso. Il sistema è down, emergenza.",Amministrazione,alta
144,Segnalazione errore su registro contabile,"Buongiorno, il/la registro contabile risulta errato. Chiedo assistenza.",Amministrazione,bassa
436,Sollecito listino prezzi,"Buongiorno, il/la listino prezzi necessita revisione. Urgente per il cliente. L'anomalia va risolta in tempi brevi.",Commerciale,media
268,lentezza del PC non disponibile,"Segnalo che lentezza del PC richiede aggiornamento. Serve intervento tecnico. Situazione bloccante, serve risposta immediata.",Tecnico,alta
73,Problema con nota di credito,Segnalo che il/la nota di credito non è stato emesso e necessita intervento.,Amministrazione,bassa
180,Errore stampante di rete,Da ieri il/la stampante di rete presenta malfunzionamenti. Impossibile lavorare.,Tecnico,bassa
6,rimborso non conforme,Si richiede la rettifica del/della rimborso in quanto presenta anomalie.,Amministrazione,bassa
201,Assistenza per software gestionale,Segnalo che software gestionale non risponde ai comandi. Serve intervento tecnico.,Tecnico,bassa
381,Modifica promozione,"Il/la promozione richiede approvazione. Chiedo cortesemente una verifica. Situazione bloccante, serve risposta immediata.",Commerciale,alta
43,Anomalia scadenza fiscale,In riferimento al/alla scadenza fiscale: è in sospeso. Attendo riscontro. Urgente: il reparto è fermo.,Amministrazione,alta
419,Modifica reso merce,Il/la reso merce necessita revisione. Chiedo cortesemente una verifica. C'è un ritardo significativo da gestire.,Commerciale,media
282,Errore bug nel software,"Urgente: bug nel software mostra messaggi di errore, reparto fermo. C'è un ritardo significativo da gestire.",Tecnico,media
